x,y,bounce
685.5,595.5,0
685.5,595.5,0
685.5,595.5,0
679.5,595.5,0
670.5,598.5,0
661.5,604.5,0
652.5,613.5,0
655.5,613.5,0
646.5,622.5,0
637.5,634.5,0
631.5,646.5,0
622.5,664.5,0
613.5,682.5,0
613.5,682.5,0
604.5,703.5,0
595.5,727.5,0
586.5,751.5,1
763.5,85.5,0
763.5,85.5,0
607.5,628.5,1
607.5,628.5,0
615.0,574.5,0
622.5,520.5,0
639.0,468.0,0
655.5,415.5,0
661.5,396.0,0
667.5,376.5,0
676.5,349.5,0
682.5,325.5,0
691.5,307.5,0
697.5,292.5,0
697.5,292.5,0
703.5,280.5,0
706.5,271.5,0
718.5,262.5,0
721.5,259.5,0
724.5,256.5,0
721.5,253.5,0
730.5,253.5,0
733.5,253.5,0
739.5,256.5,0
745.5,244.5,1
742.5,217.5,0
744.0,211.5,0
745.5,205.5,0
745.5,190.5,0
748.5,172.5,0
751.5,160.5,0
751.5,151.5,0
751.5,148.5,0
751.5,145.5,0
,,0
,,0
,,0
,,0
742.5,79.5,0
742.5,79.5,0
739.5,77.5,0
736.5,75.5,0
733.5,73.5,1
737.3571428571429,80.35714285714286,0
741.2142857142857,87.21428571428571,0
745.0714285714286,94.07142857142856,0
748.9285714285714,100.92857142857144,0
752.7857142857143,107.78571428571428,0
756.6428571428571,114.64285714285714,0
760.5,121.5,0
760.5,123.0,0
760.5,124.5,0
760.5,127.5,0
760.5,133.5,0
757.5,136.5,0
757.5,142.5,0
757.5,142.5,0
754.5,151.5,0
757.5,157.5,0
757.5,166.5,0
754.5,175.5,0
757.5,187.5,0
757.5,184.5,0
757.5,199.5,0
757.5,211.5,0
757.5,223.5,0
757.5,235.5,0
757.5,250.5,0
757.5,250.5,0
757.5,268.5,0
760.5,286.5,0
760.5,304.5,0
763.5,325.5,0
763.5,349.5,0
763.5,349.5,0
763.5,367.5,0
766.5,394.5,0
769.5,415.5,0
769.5,445.5,0
775.5,481.5,0
772.5,475.5,0
772.5,505.5,0
775.5,535.5,0
775.5,565.5,0
778.5,598.5,0
775.5,618.75,0
772.5,639.0,0
769.5,659.25,0
766.5,679.5,1
781.5,625.5,0
784.5,631.5,0
784.5,637.5,0
784.5,631.5,0
784.5,640.5,0
784.5,643.5,0
787.5,649.5,0
787.5,658.5,1
787.5,640.5,0
782.5,597.5,0
777.5,554.5,0
772.5,511.5,0
772.5,469.5,0
766.5,427.5,0
760.5,394.5,0
757.5,381.0,0
754.5,367.5,0
751.5,346.5,0
742.5,328.5,0
742.5,313.5,0
736.5,301.5,0
739.5,301.5,0
736.5,289.5,0
730.5,286.5,0
727.5,280.5,0
724.5,277.5,0
721.5,277.5,0
721.5,277.5,0
718.5,280.5,0
717.0,262.5,0
715.5,244.5,0
712.5,229.5,0
709.5,211.5,0
709.5,211.5,0
706.5,199.5,0
706.5,184.5,0
703.5,175.5,0
703.5,166.5,0
703.5,160.5,0
700.5,160.5,0
700.5,154.5,0
700.5,148.5,0
697.5,145.5,0
700.5,139.5,1
700.5,142.5,0
1156.5,64.5,1
1156.5,64.5,0
1156.5,64.5,0
694.5,145.5,1
694.5,148.5,0
1159.5,64.5,0
1159.5,64.5,0
1161.0,64.5,0
1162.5,64.5,1
688.5,115.5,0
688.5,115.5,0
928.5,90.0,0
1168.5,64.5,0
1170.0,64.5,0
1171.5,64.5,1
,,0
685.5,88.5,0
